serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
64,MAT 2020-2021,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Leukocyte,Erythrocyte,Thrombocyte,Hemocyte,D,"মানুষ - Leukocyte, Erythrocyte,Thrombocyte
রুইমাছ - Leukocyte, Erythrocyte
ঘাসফড়িং - Hemocyte"
65,MAT 2020-2021,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Serosa,Muscularis mucosa,Mucosa,Submucosa,C,"ক্ষুদ্রান্ত্রে ৫টি স্তর বিদ্যমান। যথা- সেরোসা, পেশিস্তর, সাবমিউকোসা, মাসকিউলারিস মিউকোসা ও মিউকোসা। সাবমিউকোসা অ্যারিওলার যোজক টিস্যুতে নির্মিত এবং রক্তনালি ও স্নায়ু সমৃদ্ধ। আর, মিউকোসাতে গবলেট কোষ ও শোষণক্ষম কোষ রয়েছে।"
66,MAT 2020-2021,মাথার খুলিতে কয়টি হাড় রয়েছে?,23,33,29,17,C,
67,MAT 2020-2021,কোনটি attenuated টিকা?,Diphtheria vaccine,BCG vaccine,Hepatitis B vaccine,Tetanus vaccine,B,"Diphtheria - টক্সোয়ড (Toxoid)
BCG - শক্তি হ্রাস (Attenuated)
Hepatitis B - উপএকক (Sub-unit)
Tetanus - টক্সোয়ড (Toxoid)"
68,MAT 2020-2021,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Eosinophil,Monocyte,Basophil,Lymphocyte,B,পরিণত মনোসাইটকে ম্যাক্রোফেজ বলে যা ফ্যাগোসাইটোসিস এ সহায়তা করে।
69,MAT 2020-2021,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,ডিগবাজি (somersaulting),হামাগুড়ি (looping),সাঁতার,গ্লাইডিং (gliding),B,"ডিগবাজি (Somersaulting): এটি Hydra -এর সাধারণ ও দ্রুত চলন প্রক্রিয়া।
হামাগুড়ি (Looping): এটি জোঁকা চলন বা শুঁয়াপোকা চলন নামে পরিচিত। এ পদ্ধতিতে হাইড্রা লম্বা দূরত্ব অতিক্রম করে।"
70,MAT 2020-2021,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,Ribosome,Mitochondria,Chloroplast,C,"ক্রেবস চক্র সবাত শ্বসনের একটি ধাপ যা মাইটোকন্ড্রিয়ার ম্যাট্রিক্সে সংঘটিত হয়। Sir Hans Adolf
Krebs এটি আবিষ্কার করেন। গ্লাইকোলাইসিস ছাড়া শ্বসনের সবকটি বিক্রিয়া (ক্রেবস চক্র, ETS/ অক্সিডেটিভ ফসফোরাইলেশন) মাইটোকন্ড্রিয়ায় ঘটে থাকে।"
71,MAT 2020-2021,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin,Maltase,Trypsin,Amylase,A,"Ptyalin এনজাইম লালায় পাওয়া যায়। অপরদিকে অগ্ন্যাশয়ে যে সব enzyme পাওয়া যায় সেগুলো হলো-
প্রোটিন পরিপাককারী - ১. ট্রিপসিন, ২. কাইমোট্রিপসিন, ৩. কার্বোক্সিপেপটাইডেজ, ৪. অ্যামিনোপেপটাইডেজ, ৫. ট্রাইপেপটাইডেজ, ৬.ডাইপেপটাইডেজ, ৭. কোলাজিনেজ
শর্করা পরিপাককারী - ১. অ্যামাইলেজ ২. মল্টেজ
লিপিড পরিপাককারী - ১. লাইপেজ ২. ফসফোলাইপেজ ৩. কোলেস্টেরল এস্টারেজ"
72,MAT 2020-2021,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,অগ্ন্যাশয়,প্লীহা,অস্থি মজ্জা,"A,C","ভ্রূণীয় জীবনে লোহিত কণিকাসমূহ কুসুম থলি (৩ সপ্তাহ বয়সে) যকৃত, প্লীহা ও থাইমাস (৬ মাস বয়স পর্যন্ত) থেকে উৎপন্ন হয়। আর, ভূমিষ্ট হওয়ার সময় থেকে পশুকা, কশেরুকা, স্টার্নাম ও শ্রোণিচক্রের লাল অস্থিমজ্জায় অবস্থিত বড় নিউক্লিয়াসযুক্ত এরিথ্রোব্লাস্ট নামক স্টেমকোষ থেকে অবিরাম লোহিত কণিকা সৃষ্টি হয়।"
73,MAT 2020-2021,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda,Porifera,Mollusca,Annelida,A,"প্রাণিজগতের বৃহত্তম পর্ব Arthropoda। এ পর্বে 12,57,040 প্রজাতির প্রাণী রয়েছে। আর দ্বিতীয় বৃহত্তম পর্ব হলো মলাস্কা। এ পর্বে 84,977 প্রজাতির প্রাণী রয়েছে।"
74,MAT 2020-2021,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe,Quadrate lobe,Left lobe,Caudate lobe,A,
75,MAT 2020-2021,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,23,22,44,46,C,"সোমাটিক কোষ - 44
জনন কোষ - 22"
76,MAT 2020-2021,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,Hypothalamus,Adrenal gland,Pituitary gland,D,"অগ্র পিটুইটারি গ্রন্থি থেকে বৃদ্ধিপোষক হরমোন (STH) বা Growth hormone তৈরি ও নিঃসৃত হয়। অগ্র পিটুইটারি গ্রন্থি থেকে আর যে সব হরমোন নিঃসৃত হয়- Prolactin, LH, ACTH, TSH, FSH ।"
77,MAT 2020-2021,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Sperm,Ribosome,Lysosome,Enzyme,B,"Golgi complex থেকে যা যা তৈরি বা সংশ্লেষিত (synthesis) হয়-
i. লাইসোসোম ও ভিটামিন
ii. অ-প্রোটিন জাতীয় পদার্থ
iii. প্রোটিন, হেমিসেলুলোেজ, মাইক্রোফাইব্রিল
iv. কোষপ্লেট
v. শুক্রাণু (Sperm) এর অ্যাক্রোসোম
vi. এনজাইম ও হরমোন/প্রাণরস (ক্ষরণ)"
78,AFMC 2019-2020,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম,লেড,পটাশিয়াম,কার্বনিয়াম,A,"একটি লিথিয়াম ব্যাটারি, কম্পিউটারাইজড জেনারেটর ও শীর্ষেসেন্সরযুক্ত কতগুলো তার নিয়ে একটি পেসমেকার গঠিত হয়।"
79,AFMC 2019-2020,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস,বেন্থাম হুকার,থিওফ্রাস্টাস,মেন্ডেল,A,"দ্বি-পদ নামকরণের জনক: ১৭৫৮ সালে সুইডিস বিজ্ঞানী ক্যারোলাস লিনিয়াস
প্রাণিদের দ্বিপদ নামকরণের নীতি প্রবর্তন করেন। এ জন্য তাকে দ্বি-পদ নামকরনের
জনক বলা হয়।"
